2023-10-04 08:07:12 IST - buy 1x of JSWSTEEL
2023-10-04 08:15:28 - GPIL - BUY - 1x
2023-10-05 09:53:08 - JSWSTEEL - BUY - 1x
2023-10-05 09:53:12 - SUNPHARMA - BUY - 1x
2023-10-05 09:53:32 - MOTHERSON - BUY - 1x
2023-10-05 09:59:30 - BIRLASOFT - SELL - 1x
2023-10-05 12:49:06 - SONATA - BUY - 1x
2023-10-11 12:06:32 - LATENTVIEW - BUY - 1x
2023-10-11 12:06:46 - INFOEDGE - SELL - 1x
2023-10-11 12:06:53 - TATACHEM - SELL - 1x
2023-10-11 12:07:00 - JUBLFOOD - BUY - 1x
2023-10-11 12:07:06 - VRLLOG - BUY - 1x
2023-10-11 12:07:12 - ATULAUTO - SELL - 1x
2023-10-11 12:07:18 - LATENTVIEW - BUY - 1x
2023-10-12 18:08:03 - PPLPHARMA - BUY - 1x
2023-10-12 18:08:20 - NAM-IND - SELL - 1x
2023-10-12 18:08:26 - INFOSYS - BUY - 1x
2023-10-12 18:08:33 - ZOMATO - SELL - 1x
2023-10-12 18:08:41 - VRLLOG - BUY - 1x
2023-10-12 18:08:49 - HAPPSTMNDS - BUY - 1x
2023-10-12 18:08:57 - MOTILALOFS - BUY - 1x
2023-10-12 18:09:01 - AARTIDRUGS - BUY - 1x
2023-10-12 18:09:08 - JSWSTEEL - BUY - 1x
2023-10-18 12:15:06 - HAPPSTMNDS - SELL - 1x
2023-10-18 12:15:09 - CIEINDIA - BUY - 1x
2023-10-18 12:15:11 - AARTIIND - BUY - 1x
